"1152882093","1152882093","PUB","US","United States","New Jersey","Clifton","DigitalOcean LLC","digitalocean.com","DCH",,
"584326102","584326102","PUB","US","United States","Oregon","Portland","Amazon Technologies Inc.","amazon.com","DCH",,
"2107923526","2107923526","PUB","ID","Indonesia","Kalimantan Barat","Pontianak","PT Telkom Indonesia","telkom.co.id","ISP/MOB",,
"3571853663","3571853663","PUB","ES","Spain","Catalunya","Barcelona","Global ISP by Prioritytelecom Spain S.A.","xtratelecom.es","ISP",,
"1268867592","1268867592","PUB","US","United States","New Mexico","Santa Fe","CenturyLink Communications LLC","centurylink.com","ISP",,
"3126481351","3126481351","PUB","VE","Venezuela, Bolivarian Republic of","Bolivar","Ciudad Guayana","CANTV Servicios Venezuela","cantv.net","ISP",
"3031059694","3031059694","PUB","CN","China","Shanghai","Shanghai","ChinaNet Shanghai Province Network","chinatelecom.com.cn","ISP/MOB",,
"3203262513","3203262513","PUB","PE","Peru","Arequipa","Arequipa","Telefonica del Peru S.A.A.","telefonica.com.pe","ISP/MOB",,
"1162331206","1162331206","PUB","US","United States","California","Los Angeles","California Telecom","californiatelecom.com","DCH",,
"1559455988","1559455988","PUB","RU","Russian Federation","Tomskaya oblast'","Tomsk","New Telesystems Ltd.","nts.su","ISP",,
"1842156198","1842156198","PUB","IT","Italy","Lazio","Rome","Sim Informatica SRL","siminformatica.it","ISP",,
"2709807451","2709807451","PUB","PE","Peru","Lima","Lima","Red Cientifica Peruana","rcp.net.pe","ISP",,
"1873914927","1873914928","PUB","CN","China","Hubei","Suizhou","ChinaNet Hubei Province Network","chinatelecom.com.cn","ISP/MOB",,
"401384006","401384006","PUB","US","United States","New York","Buffalo","Red Sector Inc","redsectorinc.com","DCH",,
"2045297220","2045297220","PUB","CN","China","Jiangsu","Zhenjiang","ChinaNet Jiangsu Province Network","chinatelecom.com.cn","ISP/MOB",,
"1558105491","1558105491","PUB","FR","France","Hauts-de-France","Roubaix","OVH SAS","ovh.com","DCH",,
"2302386698","2302386698","PUB","ID","Indonesia","Jawa Barat","Bekasi","PT Sumber Koneksi Indonesia","ski.net.id","ISP",,
"1875550032","1875550032","PUB","CN","China","Beijing","Beijing","China Unicom Beijing Province Network","chinaunicom.com","ISP/MOB",,
"1967166702","1967166702","PUB","CN","China","Anhui","Hefei","ChinaNet Anhui Province Network","chinatelecom.com.cn","ISP/MOB",,
